id,title,key
1,《光环》真人剧集：从改编到乱编的无奈,真人 光环 战斗 头盔 剧情 角色 玩家 游戏 精英 无奈
2,343 工作室将与 Certain Affinity 深度合作开发《光环：无限》新内容,光环 无限 工作室 内容 开发 有着 招聘 协助 公告 负责
3,《光环》电视剧创作者专访：不同时间线下的宇宙与士官长,光环 出现 剧集 细节 制片人 预告片 工业 人们 游戏 团队
4,任天堂社长谷川俊太郎称公司目前暂无元宇宙相关计划,宇宙 公司 惊喜 乐趣 方式 提供 快速 通俗易懂 暂无 重视
5,育碧 CEO Yves Guillemot 谨慎回复关于卖掉公司的说法,育碧 公司 科技 投资人 利益 话虽如此 谨慎 独立 董事会 卖掉
6,CDPR 全球公关总监 Radek Grabowski 谈近期的《赛博朋克 2077》更新,复杂 朋克 资源 更新 加入 愈发 决定 更快 最优化 内存
7,HBO 首席内容官 Casey Bloys 谈《最后生还者》真人剧集,权力 看过 说法 播出 真的 黑道 圈子 很棒 开心 剧作家
8,Rebel Wolves 叙事总监 Szamalek 谈工作室未来愿景,野心 想要 创造 打造 游戏 潮流 出自 记得 激起 正是如此
9,派拉蒙 + 首席节目制作官 Tanya Giles 谈《光环》真人剧集,光环 视觉效果 激动人心 旅程 经典 广阔 机会 节目 带来 制作
10,Take-Two CEO Strauss Zelnick 谈《生化奇兵》电影改编以及系列新作,奇兵 生化 想法 新作 热爱 电影 先进 俘虏 信心 分享
